ENGLISH,ARMENIAN,CATEGORY
 first, առաջին,QUALITIES
 fixed, ֆիքսված,QUALITIES
 flat, տափակ,QUALITIES
 free, ազատ,QUALITIES
 frequent, հաճախակի,QUALITIES
 full, լի,QUALITIES
 general, գլխավոր,QUALITIES
 good, լավ,QUALITIES
 great, հոյակապ,QUALITIES
 grey/gray, մոխրագույն,QUALITIES
 hanging, կախված,QUALITIES
 happy, ուրախ,QUALITIES
 hard, ծանր,QUALITIES
 healthy, առողջ,QUALITIES
 high, բարձր,QUALITIES
 hollow, խոռոչ,QUALITIES
 important, կարևոր,QUALITIES
 kind, բարի,QUALITIES
 like, նման,QUALITIES
 living, կենդանի,QUALITIES
 long, երկար,QUALITIES
 male, տղամարդ,QUALITIES
 married, ամուսնացած,QUALITIES
 material, նյութական,QUALITIES
 medical, բժշկական,QUALITIES
 military, ռազմական,QUALITIES
 natural, բնական,QUALITIES
 necessary, անհրաժեշտ,QUALITIES
 new, նոր,QUALITIES
 normal, նորմալ,QUALITIES
 open, բաց,QUALITIES
 parallel, զուգահեռ,QUALITIES
 past, անցյալ,QUALITIES
 physical, ֆիզիկական,QUALITIES
 political, քաղաքական,QUALITIES
 poor, աղքատ,QUALITIES
 possible, հնարավոր,QUALITIES
 present, ներկա,QUALITIES
 private, մասնավոր,QUALITIES
 probable, հավանական,QUALITIES
 quick, արագ,QUALITIES
 quiet, հանդարտ,QUALITIES
 ready, պատրաստ,QUALITIES
 red, կարմիր,QUALITIES
 regular, կանոնավոր,QUALITIES
 responsible, պատասխանատու,QUALITIES
 right, ճիշտ,QUALITIES
 round, կլոր,QUALITIES
 same, նույն,QUALITIES
 second, երկրորդ,QUALITIES
 separate, առանձին,QUALITIES
 serious, լուրջ,QUALITIES
 sharp, սուր,QUALITIES
 smooth, հարթ,QUALITIES
 sticky, կպչուն,QUALITIES
 straight, ուղիղ,QUALITIES
 strong, ուժեղ,QUALITIES
 sudden, հանկարծակի,QUALITIES
 sweet, քաղցր,QUALITIES
 tall, բարձրահասակ,QUALITIES
 thick, խիտ,QUALITIES
 tired, հոգնած,QUALITIES
 true, ճիշտ,QUALITIES
 violent, բռնի,QUALITIES
 wait, սպասել,QUALITIES
 warm, տաք,QUALITIES
 wet, թաց,QUALITIES
 wide, լայն,QUALITIES
 wise, իմաստուն,QUALITIES
 yellow, դեղին,QUALITIES
 young, երիտասարդ,QUALITIES
 awake,արթուն,QUALITIES - OPPOSITES
 bad, վատ,QUALITIES - OPPOSITES
 bent, ծուռ,QUALITIES - OPPOSITES
 bitter, դառը,QUALITIES - OPPOSITES
 blue, կապույտ,QUALITIES - OPPOSITES
 certain, որոշակի,QUALITIES - OPPOSITES
 cold, սառը,QUALITIES - OPPOSITES
 complete, ամբողջական,QUALITIES - OPPOSITES
 cruel, դաժան,QUALITIES - OPPOSITES
 dark, մութ,QUALITIES - OPPOSITES
 dead, մեռած,QUALITIES - OPPOSITES
 dear, սիրելի,QUALITIES - OPPOSITES
 delicate, նուրբ,QUALITIES - OPPOSITES
 different, տարբեր,QUALITIES - OPPOSITES
 dirty, կեղտոտ,QUALITIES - OPPOSITES
 dry, չոր,QUALITIES - OPPOSITES
 fake, կեղծ,QUALITIES - OPPOSITES
 false, սխալ,QUALITIES - OPPOSITES
 feeble, թույլ,QUALITIES - OPPOSITES
 female, կին,QUALITIES - OPPOSITES
 foolish, հիմար,QUALITIES - OPPOSITES
 future, ապագա,QUALITIES - OPPOSITES
 green, կանաչ,QUALITIES - OPPOSITES
 ill, հիվանդ,QUALITIES - OPPOSITES
 last, վերջին,QUALITIES - OPPOSITES
 late, ուշ,QUALITIES - OPPOSITES
 left, ձախ,QUALITIES - OPPOSITES
 loose, չամրացված,QUALITIES - OPPOSITES
 loud, բարձրաձայն,QUALITIES - OPPOSITES
 low, ցածր,QUALITIES - OPPOSITES
 mixed, խառը,QUALITIES - OPPOSITES
 narrow, նեղ,QUALITIES - OPPOSITES
 old, հին,QUALITIES - OPPOSITES
 opposite, հակառակ,QUALITIES - OPPOSITES
 public, հասարակական,QUALITIES - OPPOSITES
 rough, կոպիտ,QUALITIES - OPPOSITES
 sad, տխուր,QUALITIES - OPPOSITES
 safe, անվտանգ,QUALITIES - OPPOSITES
 secret, գաղտնի,QUALITIES - OPPOSITES
 short, կարճ,QUALITIES - OPPOSITES
 shut, փակ,QUALITIES - OPPOSITES
 simple, պարզ,QUALITIES - OPPOSITES
 slow, դանդաղ,QUALITIES - OPPOSITES
 small, փոքր,QUALITIES - OPPOSITES
 soft, փափուկ,QUALITIES - OPPOSITES
 solid, պինդ,QUALITIES - OPPOSITES
 special, հատուկ,QUALITIES - OPPOSITES
 strange, տարօրինակ,QUALITIES - OPPOSITES
 thin, բարակ,QUALITIES - OPPOSITES
 white, սպիտակ,QUALITIES - OPPOSITES
 wrong, սխալ,QUALITIES - OPPOSITES
 come,գալ,OPERATIONS
 get,ստանալ,OPERATIONS
 give,տալ,OPERATIONS
 go,գնալ,OPERATIONS
 keep,պահել,OPERATIONS
 let,թողել,OPERATIONS
 make,պատրաստել,OPERATIONS
 put,դնել,OPERATIONS
 seem,թվալ,OPERATIONS
 take,վերցնել,OPERATIONS
 be,լինել,OPERATIONS
 do,անել,OPERATIONS
 have,ունենալ,OPERATIONS
 say,ասել,OPERATIONS
 see,տեսնել,OPERATIONS
 send,ուղարկել,OPERATIONS
can ,կարողանալ,OPERATIONS
 will,կամք,OPERATIONS
 about,մասին,OPERATIONS
 after,հետո,OPERATIONS
 against,դեմ,OPERATIONS
 among,մեջ,OPERATIONS
 at,մոտ,OPERATIONS
 before,նախքան,OPERATIONS
 between,միջեւ,OPERATIONS
 by,կողմից,OPERATIONS
 down,ներքև,OPERATIONS
 from,սկսած,OPERATIONS
 in,մեջ,OPERATIONS
on,վրա,OPERATIONS
 over,վրայով,OPERATIONS
 through,միջոցով,OPERATIONS
 to,դեպի,OPERATIONS
 under,տակ,OPERATIONS
 up,վեր,OPERATIONS
 with,հետ,OPERATIONS
 as,ինչպես,OPERATIONS
 for,համար,OPERATIONS
 till,մինչեւ,OPERATIONS
 than,քան,OPERATIONS
 a ,մի,OPERATIONS
 the,ը,OPERATIONS
 all,բոլորը,OPERATIONS
 any,ցանկացած,OPERATIONS
 every,ամեն,OPERATIONS
 little,քիչ,OPERATIONS
 much,շատ,OPERATIONS
 no,ոչ,OPERATIONS
 other,այլ,OPERATIONS
 such,այդպիսի,OPERATIONS
 that,որ,OPERATIONS
 this,սա,OPERATIONS
 I ,ես,OPERATIONS
 he,նա,OPERATIONS
 you,դու,OPERATIONS
 who,ով,OPERATIONS
 and,և,OPERATIONS
 because,որովհետեւ,OPERATIONS
 but,բայց,OPERATIONS
 or,կամ,OPERATIONS
 if,եթե,OPERATIONS
 though,չնայած,OPERATIONS
 while,մինչդեռ,OPERATIONS
 how,ինչպես,OPERATIONS
 when,երբ,OPERATIONS
 where,որտեղ,OPERATIONS
 why,ինչու,OPERATIONS
 again,նորից,OPERATIONS
 ever,երբևէ,OPERATIONS
 far,հեռու,OPERATIONS
 forward,առաջ,OPERATIONS
 here,այստեղ,OPERATIONS
 near,մոտակայքում,OPERATIONS
 now,հիմա,OPERATIONS
 out,դուրս,OPERATIONS
 still,դեռ,OPERATIONS
 then,ապա,OPERATIONS
 there,այնտեղ,OPERATIONS
 together,միասին,OPERATIONS
 well,լավ,OPERATIONS
 almost,գրեթե,OPERATIONS
 enough,բավական,OPERATIONS
 even,նույնիսկ,OPERATIONS
 not,ոչ,OPERATIONS
 only,միայն,OPERATIONS
 quite,բավականին,OPERATIONS
 so,այսպիսով,OPERATIONS
 very,շատ,OPERATIONS
 tomorrow,վաղը,OPERATIONS
 yesterday,երեկ,OPERATIONS
 north,հյուսիս,OPERATIONS
 south,հարավ,OPERATIONS
 east,արևելք,OPERATIONS
 west,արևմուտք,OPERATIONS
 please,խնդրեմ,OPERATIONS
 yes,այո,OPERATIONS
